0 146.14 155.44 143.58 117.35 95.87 146.07 112.67 146.99 148.24 37.45 170.79 180
1 149.69 156.88 126.61 105.35 109.53 167.34 94.7 104.64 157.54 48.74 183.22 180
2 155.46 150.76 114.99 92.73 128.37 180 72.12 80.53 157.86 54.61 183.23 180
3 162.65 125.68 111.85 92.54 139.51 180 44.27 54.25 150.66 59.89 180.98 180
4 168.47 99.01 119.74 112.71 129.1 224.91 29.88 68.24 128.24 76.46 182.72 223.27
5 172.29 85.07 130.14 127.5 120.18 227.58 17.45 76.78 111.83 88.78 186.91 238.81
6 166.35 72.28 139.21 137.54 128.16 239.7 7.97 92.75 113.69 101.82 187.09 245.13
7 140.96 81.73 121.81 140.86 142.79 235.49 7.72 96.71 126.28 114.23 180.9 247.83
8 138.95 82.19 130.36 141.52 158.94 220.98 13.3 126.87 154.3 125.54 178.13 222.64
9 129.29 88.02 132.13 143.5 161.81 167.37 27.01 153.48 176.27 124.82 159.78 177.59
10 115.28 102.92 147.34 148.57 159.21 132.61 41.19 177.73 176.82 111.32 135.2 150.26
11 101.82 115.22 132.27 149.18 160.25 120.86 51.34 182.76 198.11 93.58 100.01 158.51
12 91.36 131.21 161.33 154.61 145.97 115.08 59.04 184.26 190.01 75.96 81.09 152.92
13 92.79 137.25 175.19 164.18 111.58 117.62 74.41 185.43 212.6 73.01 84.81 148.14
14 107.18 131.75 199.44 165.2 100.74 125.52 85.71 189.1 217.21 36.03 66.99 115.35
15 124.29 121.75 211.69 163.03 91.65 129.45 95.71 186.95 233.97 21.25 83.35 109.28
16 147.23 123.47 231.89 146.69 88.15 140.89 112.83 182.61 231.22 13.3 100.29 108.27
17 144.06 134.87 230.06 144.78 77.36 132.14 124.44 178.4 218.91 16.56 119.09 128.15
18 143.13 151.65 223.24 133.99 82.51 129.84 121.87 160.16 201.45 24.86 134.04 143.72
19 136.55 166.63 193.52 115.28 100.38 142.98 111.04 140.38 145.59 40.06 169.09 181.79
